rangetime(ms),tag_ID,x(m),y(m),z(m),range0(m),range1(m),range2(m),range3(m),range4(m),range5(m),range6(m),range7(m),rx_pwr(dBm),accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll,pitch,yaw,
101306,Tag 0,3.008,1.781,0.338,4.38,3.77,5.18,4.84,null,null,null,null,null,-0.211,-0.301,9.824,-33,29.85,-35.25,0,0,0,-2.006,0.592,49.299,-0.211,-0.301,9.824,-0.002,-0.005,0.000,-33.000,29.850,-35.250,0.592,-2.006,49.299,
101418,Tag 0,2.995,1.752,0.329,4.39,3.79,4.85,4.85,null,null,null,null,null,-0.12,-0.354,9.886,-31.95,28.95,-34.35,0,0,0,-2.01,0.59,49.301,-0.120,-0.354,9.886,0.006,0.002,0.002,-31.950,28.950,-34.350,0.590,-2.010,49.301,
101530,Tag 0,2.999,1.912,0.442,4.36,3.76,5.14,4.85,null,null,null,null,null,-0.005,-0.373,9.838,-34.05,30.3,-34.2,0,0,0,-1.992,0.596,49.301,-0.005,-0.373,9.838,0.000,0.000,0.001,-34.050,30.300,-34.200,0.596,-1.992,49.301,
101642,Tag 0,2.991,1.755,0.348,4.39,3.80,5.12,4.87,null,null,null,null,null,-0.1,-0.292,9.857,-33.45,28.5,-34.65,0,0,0,-1.996,0.599,49.301,-0.100,-0.292,9.857,0.002,0.006,-0.003,-33.450,28.500,-34.650,0.599,-1.996,49.301,
101754,Tag 0,2.989,1.783,0.343,4.37,3.85,4.68,4.83,null,null,null,null,null,-0.091,-0.345,9.9,-31.8,30.3,-33.75,0,0,0,-1.991,0.593,49.301,-0.091,-0.345,9.900,-0.008,-0.001,-0.001,-31.800,30.300,-33.750,0.593,-1.991,49.301,
101866,Tag 0,2.972,1.965,0.468,4.45,3.88,5.11,4.89,null,null,null,null,null,-0.12,-0.33,9.944,-33.3,28.65,-33.75,0,0,0,-1.986,0.592,49.301,-0.120,-0.330,9.944,-0.002,-0.001,-0.004,-33.300,28.650,-33.750,0.592,-1.986,49.301,
101978,Tag 0,2.981,1.905,0.377,4.35,3.79,4.48,4.89,null,null,null,null,null,-0.225,-0.34,9.977,-33.3,29.85,-35.25,0,0,0,-1.985,0.602,49.301,-0.225,-0.340,9.977,-0.001,0.000,-0.002,-33.300,29.850,-35.250,0.602,-1.985,49.301,
102091,Tag 0,2.967,2.070,0.551,4.44,3.83,5.15,4.88,null,null,null,null,null,0.167,-0.316,9.829,-32.55,30.3,-35.25,0,0,0,-1.984,0.603,49.301,0.167,-0.316,9.829,0.005,0.000,0.002,-32.550,30.300,-35.250,0.603,-1.984,49.301,
102203,Tag 0,2.980,1.932,0.384,4.45,3.78,5.12,4.94,null,null,null,null,null,0,-0.335,9.829,-31.05,29.1,-34.95,0,0,0,-1.99,0.59,49.303,0.000,-0.335,9.829,0.000,0.002,-0.001,-31.050,29.100,-34.950,0.590,-1.990,49.303,
102315,Tag 0,2.997,1.952,0.404,4.37,3.82,4.42,4.88,null,null,null,null,null,-0.148,-0.349,9.953,-33.15,29.7,-32.85,0,0,0,-1.991,0.591,49.303,-0.148,-0.349,9.953,0.000,-0.004,-0.001,-33.150,29.700,-32.850,0.591,-1.991,49.303,
102427,Tag 0,2.972,2.142,0.606,4.38,3.86,5.14,4.85,null,null,null,null,null,-0.019,-0.311,9.8,-32.4,30.45,-32.85,0,0,0,-1.973,0.588,49.301,-0.019,-0.311,9.800,-0.010,-0.004,-0.001,-32.400,30.450,-32.850,0.588,-1.973,49.301,
102539,Tag 0,2.960,1.960,0.446,4.36,3.79,5.15,4.92,null,null,null,null,null,-0.043,-0.335,9.924,-32.55,29.1,-35.25,0,0,0,-1.965,0.597,49.303,-0.043,-0.335,9.924,0.006,0.007,0.001,-32.550,29.100,-35.250,0.597,-1.965,49.303,
102651,Tag 0,2.971,1.801,0.320,4.43,3.81,4.72,4.87,null,null,null,null,null,-0.172,-0.301,9.891,-33,28.35,-34.2,0,0,0,-1.946,0.602,49.3,-0.172,-0.301,9.891,-0.006,-0.003,0.004,-33.000,28.350,-34.200,0.602,-1.946,49.300,
102763,Tag 0,2.984,2.026,0.489,4.41,3.77,5.11,4.85,null,null,null,null,null,-0.096,-0.354,9.805,-33.15,29.7,-36.15,0,0,0,-1.94,0.608,49.299,-0.096,-0.354,9.805,-0.002,0.001,0.000,-33.150,29.700,-36.150,0.608,-1.940,49.299,
102875,Tag 0,2.987,1.920,0.424,4.32,3.79,5.15,4.87,null,null,null,null,null,-0.105,-0.354,9.967,-32.7,29.7,-34.35,0,0,0,-1.944,0.605,49.301,-0.105,-0.354,9.967,-0.012,-0.003,0.004,-32.700,29.700,-34.350,0.605,-1.944,49.301,
102986,Tag 0,2.959,1.768,0.336,4.32,3.86,5.17,4.92,null,null,null,null,null,-0.134,-0.383,9.886,-33.15,30.15,-33.9,0,0,0,-1.947,0.606,49.301,-0.134,-0.383,9.886,0.002,-0.002,0.000,-33.150,30.150,-33.900,0.606,-1.947,49.301,
103098,Tag 0,2.945,1.748,0.319,4.38,3.79,5.12,4.85,null,null,null,null,null,-0.115,-0.44,9.848,-31.5,29.85,-35.25,0,0,0,-1.957,0.607,49.3,-0.115,-0.440,9.848,-0.005,0.000,0.000,-31.500,29.850,-35.250,0.607,-1.957,49.300,
